trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
178,False,"{'a': 0.5, 'e': 1}",25,4,-166.8591664006078,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 2}",1
179,False,"{'a': 0.5, 'e': 1}",20,0,-107.99518656244149,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
180,False,"{'a': 0.5, 'e': 1}",25,0,-160.93644353291683,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
181,False,"{'a': 0.5, 'e': 1}",20,4,-117.46498607343199,"{0: 7, 1: 4, 2: 3, 3: 0, 4: 2}",1
182,False,"{'a': 0.5, 'e': 1}",20,0,-95.69503343843512,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
183,False,"{'a': 0.5, 'e': 1}",25,8,-26.027560486940946,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 1}",20,0,-133.63244156784555,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
185,False,"{'a': 0.5, 'e': 1}",20,0,-109.2623917670059,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
186,False,"{'a': 0.5, 'e': 1}",20,0,-103.7642227365258,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
187,False,"{'a': 0.5, 'e': 1}",30,0,-126.83341196633326,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
188,False,"{'a': 0.5, 'e': 1}",30,0,-122.87836825524566,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
189,False,"{'a': 0.5, 'e': 1}",20,0,-82.53598567001708,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
190,False,"{'a': 0.5, 'e': 1}",25,0,-172.64763384650712,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
191,False,"{'a': 0.5, 'e': 1}",25,0,-179.20533507547427,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
192,False,"{'a': 0.5, 'e': 1}",35,0,-113.35275494645093,"{0: 21, 1: 2, 2: 12, 3: 0, 4: 0}",0
193,False,"{'a': 0.5, 'e': 1}",25,0,-184.51180774208242,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
194,False,"{'a': 0.5, 'e': 1}",30,0,-148.59107530071472,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
195,False,"{'a': 0.5, 'e': 1}",30,0,-171.0338712842134,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
196,False,"{'a': 0.5, 'e': 1}",20,0,-128.07688134899269,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
197,False,"{'a': 0.5, 'e': 1}",25,0,-144.0387485447119,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
198,False,"{'a': 0.5, 'e': 1}",30,0,-136.05015124825837,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
199,False,"{'a': 0.5, 'e': 1}",30,0,-79.60074784158653,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
200,False,"{'a': 0.5, 'e': 1}",25,0,-94.79164440713933,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
